"🌟 BẢNG QUẢN LÝ TASK (SPRINT TUẦN 2) - CRYPTANALYSIS TOOLKIT 🌟","","","","","","",""
"Mã Task","Người phụ trách","Mức độ ưu tiên","Tên Task (Vấn đề / Tính năng)","Hành động chi tiết (Chi tiết công việc)","Sản phẩm đầu ra (Deliverable)","Link GitHub tham chiếu","File cần chỉnh sửa","Trạng thái"
"BUG-1","Hưng","🔴 Cao","Sửa lỗi crash main.py trên Windows","Cập nhật encoding utf-8 cho stdout trong main.py để không bị UnicodeEncodeError khi in tiếng Việt trên CMD/PowerShell","main.py chạy mượt trên Windows local và Docker","https://github.com/HADUYHUNG-0912/classical-cipher-cryptanalysis/blob/main/main.py","main.py","Đã xong"
"BUG-2","Hiếu","🔴 Cao (Khó)","Nâng cấp thuật toán phá mã Playfair","Sửa hàm đánh giá bigram thành non-overlapping digraph (đúng chuẩn Playfair). Tăng vòng lặp (iterations) lên 5000-10000. Áp dụng Simulated Annealing để không kẹt local optimum.","Nhánh feature/playfair phá được văn bản >200 ký tự","https://github.com/HADUYHUNG-0912/classical-cipher-cryptanalysis/tree/main/playfair","playfair/attack.py","Chưa làm"
"BUG-3","Duy","🟠 Trung bình","Chuẩn hóa bộ Unit Test","Chuyển toàn bộ file test hiện tại của Caesar và Vigenère thành class kế thừa unittest.TestCase để chạy đồng bộ.","Lệnh `python -m unittest discover -s tests` pass 100%","https://github.com/HADUYHUNG-0912/classical-cipher-cryptanalysis/tree/main/tests","tests/test_caesar.py, tests/test_vigenere.py","Chưa làm"
"BUG-4","Hưng","🟠 Trung bình","Khắc phục lỗi môi trường Docker","Khởi động Docker Desktop, đảm bảo daemon chạy thành công trên máy local để sẵn sàng build ảnh.","Lệnh `docker info` phản hồi bình thường","https://github.com/HADUYHUNG-0912/classical-cipher-cryptanalysis/blob/main/Dockerfile","Dockerfile","Đã xong"
"TASK-1","Hưng","🔵 Bắt buộc","Tạo framework thực nghiệm (Benchmark)","Tạo thư mục experiments/, viết script benchmark.py tái sử dụng được để tự động đo thời gian và tỷ lệ phá mã thành công.","File experiments/benchmark.py được push lên Git","https://github.com/HADUYHUNG-0912/classical-cipher-cryptanalysis","experiments/benchmark.py","Đã xong"
"TASK-2","Hưng","🔵 Bắt buộc","Chạy thực nghiệm hệ Caesar","Dùng benchmark.py chạy với văn bản có độ dài L = 50, 100, 500, 1000. Lặp lại N lần để lấy kết quả trung bình.","Bảng số liệu thô và biểu đồ hệ Caesar","https://github.com/HADUYHUNG-0912/classical-cipher-cryptanalysis","experiments/benchmark.py","Đã xong"
"TASK-3","Hưng","🔵 Bắt buộc","Đóng gói sản phẩm bằng Docker","Chạy `docker build -t crypto-lab .` và `docker run -it crypto-lab` để kiểm tra CLI menu (main.py) có hoạt động hoàn hảo trong container hay không.","Image Docker crypto-lab build thành công và chạy ổn định","https://github.com/HADUYHUNG-0912/classical-cipher-cryptanalysis/blob/main/Dockerfile","Dockerfile, main.py","Đã xong"
"TASK-4","Duy","🔵 Bắt buộc","Chạy thực nghiệm hệ Vigenère","Chạy thử với độ dài key thay đổi từ 2 đến 10 và chiều dài văn bản L=50,100,500,1000. Đo độ chính xác của hàm ước lượng IC và tỷ lệ phá khóa đúng.","Bảng số liệu thô và biểu đồ hệ Vigenère","https://github.com/HADUYHUNG-0912/classical-cipher-cryptanalysis/tree/main/vigenere","experiments/benchmark.py, vigenere/attack.py","Chưa làm"
"TASK-5","Hiếu","🔵 Bắt buộc","Chạy thực nghiệm hệ Playfair","Thử nghiệm để đánh giá sự tương quan giữa độ dài văn bản L (100,200,500,1000), số vòng lặp (iterations) và tỷ lệ giải mã đúng.","Bảng số liệu thô và biểu đồ hệ Playfair","https://github.com/HADUYHUNG-0912/classical-cipher-cryptanalysis/tree/main/playfair","experiments/benchmark.py, playfair/attack.py","Chưa làm"
"PR-MGT","Hưng","🟢 Xuyên suốt","Review Code & Quản lý nhánh","Hỗ trợ Duy và Hiếu review Pull Request (PR), giải quyết các xung đột code (conflict), đảm bảo nhánh main luôn hoạt động tốt.","Repo Github cập nhật đồng bộ, code sạch","https://github.com/HADUYHUNG-0912/classical-cipher-cryptanalysis/pulls","","Đang làm"
